Semaine N° :   9            Semaine :     Lun. 28 Fév. 2022 - Dim. 06 Mar. 2022;;;;;;;;;
Garde du :     Lun. 28 Fév. 2022 à 8h - Mar. 01 Mar. 2022 à 8h                                                                                                                        Semaine N° :   9;;;;;;;;;
ZONE 12;12E;STATOISE;;DEUX CHEVEAUX - Entrée CENTRE HOSPITALIER NICOLAS BARRE;;222 30 05 55;659 17 65 04;;
ZONE 12;12E;SAINTE ELISABETH de NKOMO;;Carrefour NKOMO _ face BOULANGERIE FONTANA;;243 15 30 58;;;
ZONE 13;13C;MESSAMENDONGO;;Carrefour MESSAMENDONGO;;222 30 55 30;242 10 76 94;;
ZONE 13;13C;SAINTE URIEL;;DERNIER POTEAU _ EKIE;;243 89 71 86;693 74 14 05;652 73 22 65;
"Nombre de pharmacies :              17
Garde du :     Jeu. 03 Mar. 2022 à 8h - Ven. 04 Mar. 2022 à 8h                                                                                                                        Semaine N° :   9";;;;;;;;;
Zone;GP;Pharmacie;;Localisation;;Téléphone 1;Téléphone 2;Téléphone 3;
ZONE 1;1D;MFOUNDI, du;;Carrefour ELIG ESSONO;;222 23 78 88;;;
ZONE 2;2.2C;GRANDE PHARMACIE DES LUMIERES;;ROND-POINT NLONGKAK;;222 20 58 55;;;
ZONE 3;3J;CHATEAU DE MIMBOMAN, du;;CHAPELLE D'EMOMBO;;242 06 22 98;;;
ZONE 4;4D;CITE, de la;;TITI GARAGE - A COTE DU QUEBEC;;222 21 83 16;675 55 87 87;;
ZONE 4;4D;ROSEE, la;;Carrefour TRADEX ELEVEURS;;242 15 60 16;;;
ZONE 5;5I;CAPUCINES, des;;SIANTOU SUPERIEUR;;242 66 63 05;;;
ZONE 6;6D;MONGALE;;Carrefour CARRIERE;;653 04 36 36;658 73 35 75;;
ZONE 6;6D;GLOIRE;;"300m après USINE DES EAUX,
NKOLBISSON";;691 11 59 91;;;
ZONE 7;7D;FIDELITE, de la;;Entrée CAMP YEYAP _ MESSA;;242 00 69 55;;;
ZONE 8;8.1E;ETOILE, de l';;Montée MAISONS BLANCHES;;655 14 56 59;222 31 49 62;;
ZONE 9;9H;NSIMEYONG;;Chapelle NSIMEYONG;;222 31 42 61;694 01 12 46;;
ZONE 10;10F;CANA;;Carrefour JAMOT;;222 20 97 51;;;
